last_name, first_name,player_id,year,player_age,b_total_pa,b_home_run,batting_avg,slg_percent,r_total_stolen_base,r_stolen_base_pct,xba,xslg,exit_velocity_avg,launch_angle_avg,hard_hit_percent,sprint_speed,
Williams, Justin,642211,2021,26,137,4,.160,.261,0,,.241,.406,92.1,3.9,52.1,27.0,
Mejia, Francisco,642336,2021,26,277,6,.260,.416,0,,.230,.345,85.7,14.9,28.9,27.0,
Sierra, Magneuris,642423,2021,25,225,0,.230,.268,11,,.226,.263,82.3,7.7,18.8,28.9,
Rosario, Amed,642708,2021,26,588,11,.282,.409,13,,.265,.365,88.8,5.6,43.5,29.5,
Adames, Willy,642715,2021,26,555,25,.262,.481,5,,.236,.438,89.5,16.8,44.7,28.0,
Gutierrez, Kelvin,642721,2021,27,295,3,.232,.316,0,,.218,.304,89.9,2.3,44.9,28.3,
Alcantara, Sergio,642727,2021,25,255,5,.205,.327,3,,.208,.298,87.5,10.5,33.6,27.2,
Estrada, Thairo,642731,2021,25,132,7,.273,.479,2,,.239,.419,86.6,6.7,34.7,28.5,
Leyba, Domingo,642736,2021,26,96,1,.115,.161,0,,.181,.254,80.9,13.8,15.6,26.4,
Wynns, Austin,642851,2021,31,139,4,.185,.308,1,,.201,.296,83.6,10.7,27,25.1,
Benintendi, Andrew,643217,2021,27,538,17,.276,.442,8,,.261,.456,89.6,15.4,43.2,27.6,
Cooper, Garrett,643265,2021,31,250,9,.284,.465,1,,.268,.454,91.1,8.2,52.7,26.1,
Dubon, Mauricio,643289,2021,27,187,5,.240,.377,3,,.228,.361,86.1,14.9,30.1,27.9,
Jansen, Danny,643376,2021,26,205,11,.223,.473,0,,.241,.454,90,20.5,44.7,27.6,
Kemp, Tony,643393,2021,30,397,8,.279,.418,8,,.249,.347,86.7,18.4,21.9,26.6,
Kiner-Falefa, Isiah,643396,2021,26,677,8,.271,.357,20,,.267,.349,85.5,5.4,28.8,28.0,
Long Jr., Shed,643418,2021,26,121,4,.198,.360,1,,.203,.321,87.6,1.7,35.6,26.5,
McNeil, Jeff,643446,2021,29,426,7,.251,.360,3,,.255,.385,88.1,12,33.4,27.0,
Schwindel, Frank,643524,2021,29,259,14,.326,.591,2,,.270,.449,86.9,12.6,39.8,26.2,
Tauchman, Mike,643565,2021,31,191,4,.181,.283,3,,.195,.302,87.5,10,35.8,27.3,
Chang, Yu,644374,2021,26,251,9,.228,.426,1,,.232,.377,87.1,19.1,33.7,28.3,
Albies, Ozzie,645277,2021,24,686,30,.259,.488,20,,.259,.464,89.6,21.1,37.2,28.4,
Robles, Victor,645302,2021,24,369,2,.203,.295,8,,.216,.315,84.1,19.9,27.2,28.3,
Devers, Rafael,646240,2021,25,664,38,.279,.538,5,,.290,.560,92.9,13.1,51.8,26.8,
Naylor, Josh,647304,2021,24,250,7,.253,.399,1,,.254,.414,89.8,9,42.6,26.2,
Toro, Abraham,647351,2021,25,375,11,.239,.373,6,,.246,.412,86.8,13.7,33.9,28.1,
Diaz, Aledmys,649557,2021,31,319,8,.259,.405,0,,.267,.411,88.7,13.6,44.8,27.1,
Urias, Luis,649966,2021,24,570,23,.249,.445,5,,.241,.427,87.9,14.2,40.5,26.5,
Diaz, Lewin,650331,2021,25,128,8,.205,.451,0,,.221,.440,88.3,20.7,36,25.5,
Arraez, Luis,650333,2021,24,479,2,.294,.376,2,,.294,.410,88.4,9.9,30.6,26.8,
Jimenez, Eloy,650391,2021,25,231,10,.249,.437,0,,.248,.439,90.5,8.4,45.8,27.5,
Torres, Gleyber,650402,2021,25,516,9,.259,.366,14,,.264,.422,87.1,14.2,35.7,27.0,
Castro, Willi,650489,2021,24,450,9,.220,.351,9,,.244,.364,85.6,11.4,29.4,28.7,
Diaz, Yandy,650490,2021,30,541,13,.256,.387,1,,.253,.395,89.9,6.6,40.6,26.5,
De La Cruz, Bryan,650559,2021,25,219,5,.296,.427,1,,.254,.366,88.4,11.1,42.2,28.2,
Rengifo, Luis,650859,2021,24,190,6,.201,.310,1,,.237,.396,85.8,11.7,27,28.1,
Pozo, Yohel,650968,2021,24,77,1,.284,.378,0,,.274,.386,87.7,14.6,37.5,25.1,
Adams, Riley,656180,2021,25,120,2,.222,.384,0,,.195,.363,88.4,11.7,42.4,26.3,
Bradley, Bobby,656252,2021,25,279,16,.208,.445,0,,.224,.467,89,12,40.9,27.0,
Chapman, Matt,656305,2021,28,622,27,.210,.403,3,,.209,.422,89.7,18.6,41.7,28.1,
Chavis, Michael,656308,2021,26,124,3,.248,.397,1,,.228,.344,89.7,8.1,41.3,28.7,
Diaz, Isan,656371,2021,25,278,4,.193,.282,1,,.203,.308,88.7,9.6,36.5,25.8,
Ellis, Drew,656403,2021,26,83,1,.130,.203,0,,.134,.191,81.8,23.1,26.2,27.0,
Hill, Derek,656537,2021,26,150,3,.259,.388,6,,.243,.348,86.9,9.2,29.9,30.5,
Hilliard, Sam,656541,2021,27,238,14,.215,.463,5,,.212,.429,89.8,12,38.6,28.9,
Hoskins, Rhys,656555,2021,28,443,27,.247,.530,3,,.248,.560,91.2,21.7,46.3,26.4,
